"id","standard","category","clause","page","question"
"HGB032","GB 50086-2015","direct","8.1.3","85","根据GB 50086-2015，边坡锚固工程应采用何种设计方法？当开挖过程中发现不良地质或变形异常时，应对原设计采取什么措施？"
"HGB033","GB 50086-2015","direct","10.1.3","106","根据GB 50086-2015，对于设置在承载力低的地基上且承受切向力的基础，是否允许直接施作预应力锚杆？若不允许，应采取何种替代措施？"
"HGB034","GB 50086-2015","multi_condition","7.4.15","201","根据GB 50086-2015，受采动影响巷道在不同服务年限与围岩风化条件下应如何选择支护形式？请说明服务年限2年以内且围岩受风化影响小、围岩受风化影响严重或服务时间长、以及服务时间长且围岩变形大等三种情形对应的支护要求。"
"HGB035","GB 50086-2015","direct","4.4.3","165","根据GB 50086-2015，用作锚杆筋体材料的钢绞线具有哪些特点及优势？"
"HGB036","GB 50086-2015","direct","9.1.2","92","根据GB 50086-2015，基坑锚固工程设计应综合考虑哪些因素，并需满足哪些基本要求？"
"HGB037","GB 50086-2015","numeric","4.4.10","166","根据GB 50086-2015，水泥浆中氧化物、硫酸盐、硝酸盐总量不得超过外加剂重量的多少？该限值适用时还需满足哪些试验与性能要求？"
"HGB038","GB 50086-2015","numeric","12.1.7","114","根据GB 50086-2015，进行锚杆基本试验时，其地层条件、锚杆杆体和参数、施工工艺应与工程锚杆保持一致，且试验数量最少应为多少根？"
"HGB039","GB 50086-2015","direct","4.1.4","23","根据GB 50086-2015《岩土锚杆与喷射混凝土支护工程技术规范》，永久性锚杆的锚固段不得设置在哪类土层中？"
"HGB040","GB 50086-2015","numeric","6.3.15","51","根据GB 50086-2015《岩土锚杆与喷射混凝土支护工程技术规范》，混合料配合比设计中，胶凝材料总量和水泥用量的最低限值分别是多少？"
"HGB041","GB 50086-2015","direct","12.1.14","115","根据GB 50086-2015，哪些地质条件下的锚杆应进行蠕变试验？"
"HGB042","GB 50086-2015","direct","7.1.1","59","根据GB 50086-2015，隧道与地下工程锚杆喷射混凝土（锚喷）支护的设计应采用何种设计方法？对于大跨度、高边墙的隧道洞室，还应采取什么措施进行复核？"
"HGB043","GB 50086-2015","direct","11.3.2","113","根据GB 50086-2015，在降水条件下进行锚杆施工时，对抽水作业与锚杆张拉锁定完成之间的关系有何强制性要求？"
"HGB044","GB 50086-2015","table","13.3","122","根据GB 50086-2015，当一个独立工程中永久性锚杆总量为200根时，预应力锚杆拉力的监测数量应为多少根？"
"HGB045","GB 50086-2015","multi_condition","9.3.2","98","根据GB 50086-2015，非软土地层中基坑采用土钉墙支护时，对基坑深度及周边环境变形控制要求应满足什么条件？"
"HGB046","GB 50086-2015","numeric","10.3.3","110","根据GB 50086-2015，混凝土坝锚固工程中用于长期监测锚杆拉力值变化的监测锚杆数量应满足什么要求？"
"HGB047","GB 50086-2015","direct","12.2.1","228","根据GB 50086-2015，为检验喷射混凝土支护在开挖早期控制围岩或土体变形的能力，应测定其多少龄期的抗压强度？该强度应符合本规范哪一条款的规定？"
"HGB048","GB 50086-2015","formula","10.1.5","106","根据GB 50086-2015，锚固基础中单根锚杆所承受的拔力标准值应如何计算？请写出其计算公式及各符号含义。"
"HGB049","GB 50086-2015","table","6.4.13","55","根据GB 50086-2015，当采用湿拌法且混合料中掺有速凝剂、环境温度为5℃～30℃时，喷射混凝土混合料从拌制完成到开始喷射的最长允许间隔时间是多少？"
"HGB050","GB 50086-2015","numeric","4.7.11","177","根据GB 50086-2015，可重复高压注浆锚杆进行高压注浆时，要求一次注浆后水泥结石体强度应达到多少？该强度条件对实现高压劈裂注浆有何影响？"
"HGB051","GB 50086-2015","numeric","6.2.4","48","根据GB 50086-2015，掺加正常用量速凝剂的水泥净浆初凝时间与终凝时间分别不应大于多少？"
"HGB052","GB 50086-2015","direct","6.2.1","47","根据GB 50086-2015，岩土锚杆与喷射混凝土支护工程中宜采用哪类水泥？其质量应符合哪个国家标准的规定？特殊要求时可选用何种水泥？"
"HGB053","GB 50086-2015","direct","4.3","165","根据GB 50086-2015规范，预应力锚杆类型的选择依据是什么？"
"HGB054","GB 50086-2015","direct","0.01","69","根据GB 50086-2015规范，杆锚布置时对预应力锚杆的锚固力设置有何基本要求？请说明其与L的关系及必要性。"
"HGB055","GB 50086-2015","table","13.5.1","123","根据GB 50086-2015，岩土锚固与喷射混凝土支护工程安全控制的预警值中，锚杆腐蚀引起的锚杆杆体截面减小率的预警阈值是多少？"
"HGB056","GB 50086-2015","table","4.6.11","35","根据GB 50086-2015，当锚固工程安全等级为I、破坏后果为危害大且会构成公共安全问题时，临时锚杆的锚固段注浆体与地层间的粘结抗拔安全系数应取何值？"
"HGB057","GB 50086-2015","numeric","7.3.20","75","根据GB 50086-2015，用于抵抗拱腰以下局部不稳定块体的预应力锚杆，其自由段穿过滑移面的最小长度应为多少？"
"HD001","JTG 3370.1-2018","direct","9.2.4","227","依据JTG 3370.1-2018，表9.2.4-1和表9.2.4-2所列隧道衬砌结构强度安全系数的取值依据及调整原则是什么？"
"HD002","JTG 3370.1-2018","direct","11.3.1","240","根据JTG 3370.1-2018，何种情况下可考虑采用连拱隧道？该采用行为被规范如何定性？"
"HD003","JTG 3370.1-2018","direct","9.2.1","57","根据JTG 3370.1-2018，哪些类型的隧道衬砌宜采用荷载结构法进行计算？"
"HD004","JTG 3370.1-2018","direct","10.1.1","233","根据JTG 3370.1-2018，隧道防排水设计中“排”的具体要求及其对衬砌渗漏水概率和路面结构的影响是什么？"
"HD005","JTG 3370.1-2018","table","15.3.9","273","根据JTG 3370.1-2018，当隧道内混凝土路面与沥青路面相接需设置过渡段时，该过渡段中水泥混凝土路面部分的总长度及各分段最小长度应满足什么要求？"
"HD006","JTG 3370.1-2018","direct","16.3.1","276","依据JTG 3370.1-2018，抗震验算中目前主要选取哪些验算目标性能？其具体容许指标应考虑哪些因素确定？"
"HD007","JTG 3370.1-2018","numeric","3.3.2","184","依据JTG 3370.1-2018，可行性研究阶段需收集绘制的地形图比例尺范围是多少？"
"HD008","JTG 3370.1-2018","direct","11.5.3","68","依据JTG 3370.1-2018，与隧道洞口连接的棚洞其建筑限界应如何确定？高速公路上的独立棚洞建筑限界宽度又宜如何取值？"
"HD009","JTG 3370.1-2018","direct","3.4.1","17","依据JTG 3370.1-2018，隧道选址区域气象调查应包含哪些基本要素？其中哪些要素需特别关注其极端值？"
"HD010","JTG 3370.1-2018","direct","8.3.5","221","根据JTG 3370.1-2018，不设仰拱地段开挖边沟时，为保证护基宽度，边沟开挖边界距边墙基础的最小距离应为多少？同时，端墙式洞门施工中，衬砌边墙基础应如何处理以避免受洞门墙基坑开挖影响？"
"HD011","JTG 3370.1-2018","direct","3.1.1","15","依据JTG 3370.1-2018，隧道在不同设计阶段开展资料搜集工作时，应依据哪些因素来确定资料内容与范围？所获取的调查资料需满足什么基本要求？"
"HD012","JTG 3370.1-2018","direct","3.5.3","18","依据JTG 3370.1-2018，隧道工程在环境影响调查中，应针对哪些与生产生活用水及地质稳定性相关的潜在问题开展调查与预测？"
"HD013","JTG 3370.1-2018","direct","12.5.1","252","根据JTG 3370.1-2018，风道不同断面连接时若采用突变形式，为减小风流损失应采取何种构造措施？"
"HD014","JTG 3370.1-2018","direct","11.5.2","244","根据JTG 3370.1-2018，棚洞按上部主体结构横断面几何形状可分为哪几类？其中拱形棚洞的临空一侧构造特征及结构形式要求是什么？"
"HD015","JTG 3370.1-2018","direct","5.2.9","199","依据JTG 3370.1-2018，对于有明显物理流限的热轧钢筋，其强度标准值应如何确定？该标准值需满足何种保证率要求？"
"HD016","JTG 3370.1-2018","direct","11.2.1","239","根据JTG 3370.1-2018，小净距隧道的定义是什么？其设计判断依据及典型采用条件有哪些？"
"HD017","JTG 3370.1-2018","direct","14.1.2","263","依据JTG 3370.1-2018，在特殊地质地段施工过程中，应通过何种手段掌握围岩支护衬砌的受力状态，并据此采取哪些具体行动？"
"HD018","JTG 3370.1-2018","direct","9.2.8","229","根据JTG 3370.1-2018，当隧道开挖后发现实际地质情况与设计所依据的地质资料存在差异时，应如何处理设计参数？"
"HD019","JTG 3370.1-2018","numeric","18.2.1","284","根据JTG 3370.1-2018，隧道内配电洞室的常规尺寸（宽×高×深）及底面相对于检修道或人行道顶面的高度应为多少？"
"HD020","JTG 3370.1-2018","direct","13.3.3","78","根据JTG 3370.1-2018，当围岩自稳性较好但地下水丰富，且地下排放可能对隧道周边地下水和地表水造成较大影响时，针对开挖后围岩暴露的股状水、裂隙水及大面积淋水，应采用何种堵水措施？"
"HD021","JTG 3370.1-2018","table","5.2.3","32","依据JTG 3370.1-2018，C30混凝土的轴心抗压强度设计值、弯曲抗压强度设计值和轴心抗拉强度设计值各是多少（单位：MPa）？"
"HD022","JTG 3370.1-2018","multi_condition","13.2.7","259","依据JTG 3370.1-2018，采用地面砂浆锚杆进行地层加固时，对隧道埋深、锚固砂浆强度要求、横向布置间距及加固宽度的确定方法分别有哪些具体规定？"
"HD023","JTG 3370.1-2018","direct","12.3.5","251","根据JTG 3370.1-2018，采用有轨运输时，井身纵断面为何不宜变坡？若采用凹形曲线或凸形曲线分别会带来哪些具体问题？"
"HD024","JTG 3370.1-2018","direct","12.2.4","249","根据JTG 3370.1-2018，采用复合式衬砌结构的竖井为何不设置防水层？请说明其技术依据。"
"HD025","JTG 3370.1-2018","direct","13.2.2","255","根据JTG 3370.1-2018，超前小导管在隧道拱部开挖轮廓线上的打设角度范围是多少？其外露端应如何支承以形成支撑体系？"
"HD026","JTG 3370.1-2018","direct","4.4.5","193","根据JTG 3370.1-2018，两车道隧道、三车道隧道和四车道隧道在紧急停车带设置方面分别有何规定？"
"HD027","JTG 3370.1-2018","multi_condition","10.5.1","238","根据JTG 3370.1-2018，当隧道所在地区最冷月平均气温与最大冻结深度分别处于什么范围时，应设置中心水沟？在何种条件下需进一步设置防寒泄水洞？"
"HD028","JTG 3370.1-2018","table","5.3.3","38","根据JTG 3370.1-2018，隧道内用橡胶止水带的拉伸强度、扯断伸长率和撕裂强度应分别满足什么技术指标？"
"HD029","JTG 3370.1-2018","direct","17.2.1","279","根据JTG 3370.1-2018，隧道改扩建工程在施工期间通常需维持既有隧道正常交通，为保障结构安全与运行条件，应首先开展哪项工作？"
"HD030","JTG 3370.1-2018","direct","8.2.1","214","根据JTG 3370.1-2018，喷射混凝土强度的基本要求是什么？"
"HD031","JTG 3370.1-2018","numeric","4.3.3","23","依据JTG 3370.1-2018，分离式隧道间净距的推荐取值范围是多少？该取值应如何根据围岩条件进行调整？当两洞跨度不同时，应以哪个跨度作为控制依据？"
"HD032","JTG 3370.1-2018","direct","4.3.6","23","根据JTG 3370.1-2018，隧道洞口内外侧多长范围内的平、纵线形应与隧道线形相协调？在特殊困难地段，若经技术经济比较论证后允许采用缓和曲线，需采取何种补充措施？"
"HD033","JTG 3370.1-2018","table","5.1.2","29","根据《公路隧道设计规范 第一册 土建工程》（JTG 3370.1-2018），隧道衬砌及管沟各部位采用混凝土时，其最低强度等级应满足哪些要求？请列出拱圈、边墙、仰拱、底板、仰拱填充、水沟与电缆槽所对应的混凝土强度等级规定。"
"HD034","JTG 3370.1-2018","direct","8.3.1","219","根据JTG 3370.1-2018，整体式衬砌在何种荷载条件下宜采用变截面形式？设仰拱地段时，仰拱厚度与边墙厚度应满足什么关系？边墙厚度的定义中需扣除哪类设施所占空间？"
"HD035","JTG 3370.1-2018","direct","9.2.11","230","根据JTG 3370.1-2018，偏心影响系数α的物理意义是什么？该系数用于反映何种受力状态对构件极限承载能力的影响程度？"
"HD036","JTG 3370.1-2018","numeric","4.3.5","23","根据《公路隧道设计规范 第一册 土建工程》（JTG 3370.1-2018），一般情况下隧道内纵断面的最小纵坡和最大纵坡分别不应小于和大于多少？对于长度短于100 m的隧道，该限制是否适用？高速公路、一级公路的中、短隧道在特定条件下最大纵坡可否放宽，若可，上限是多少？"
"HD037","JTG 3370.1-2018","direct","13.1.1","253","根据JTG 3370.1-2018，辅助工程措施按功能可分为哪两类？其中，针对自稳性差地段应采取何种措施？该类措施又可细分为哪两种类型？"
"HD038","JTG 3370.1-2018","direct","9.2.2","227","根据JTG 3370.1-2018，采用荷载结构模型进行隧道衬砌设计时，应如何处理围岩对衬砌变形的约束作用？"
"HD039","JTG 3370.1-2018","direct","4.4.3","192","根据JTG 3370.1-2018，公路隧道横断面净空除满足建筑限界外，还需考虑哪些功能空间需求，并对隧道内轮廓线与建筑限界的最小距离有何具体要求？"
"HD040","JTG 3370.1-2018","multi_condition","8.1.1","46","依据JTG 3370.1-2018，高速公路、一级公路和二级公路的隧道应采用何种衬砌形式？对于三级及三级以下公路的隧道，在不同围岩级别和位置条件下，分别可采用哪些衬砌形式？"
"HD041","JTG 3370.1-2018","direct","14.3.1","264","根据JTG 3370.1-2018，岩溶发育需满足哪些基本条件？可溶性岩按成分可分为哪几类？"
"HD042","JTG 3370.1-2018","table","12.1.1","246","根据JTG 3370.1-2018，当辅助通道类型为横通道时，其在运营阶段的主要用途及适用条件是什么？"
"HD043","JTG 3370.1-2018","direct","1.0.5","181","根据JTG 3370.1-2018，隧道主体结构具体包含哪些土建工程组成部分？"
"HD044","JTG 3370.1-2018","direct","14.8.1","268","根据JTG 3370.1-2018，在高地应力区，为减小地应力对隧道的作用，隧道轴线方向应如何布置？同时说明当最大主应力方向垂直洞室断面时衬砌受力特点及高地应力区推荐断面形式及其原因。"
"HD045","JTG 3370.1-2018","direct","14.9.3","269","依据JTG 3370.1-2018，多年冻土隧道洞口设计应以哪些措施为重点？边仰坡开挖后需采取何种处理方式以减小对原有热平衡的干扰？"
"HD046","JTG 3370.1-2018","direct","3.4.2","185","根据JTG 3370.1-2018，在偏远山区修建隧道且缺乏隧址区气象资料时，应在哪些位置设立气象观测点（站）？其设立目的包括哪两方面？"
"HD047","JTG 3370.1-2018","direct","3.6.5","20","根据JTG 3370.1-2018，当缺乏试验数据且未进行初步分级时，各级岩质围岩的物理力学参数应如何确定？"
"HD048","JTG 3370.1-2018","direct","13.3.7","237","依据JTG 3370.1-2018，当预测隧道内涌水量较大时，设计应如何处理洞内中心水沟与路侧边沟的断面？"
"HD049","JTG 3370.1-2018","table","4.3.1","22","依据JTG 3370.1-2018，当隧道采用不设超高的圆曲线且路拱横坡为≤2.0%时，设计速度为80km/h对应的最小圆曲线半径应为多少？"
"HD050","JTG 3370.1-2018","direct","5.1.10","31","根据JTG 3370.1-2018，隧道内可选用的防水材料包括哪些类型？"
"HD051","JTG 3370.1-2018","formula","6.2.2","202","根据《公路隧道设计规范 第一册 土建工程》（JTG 3370.1-2018），在采用式（6.2.2-2）计算深埋隧道松散荷载时，若缺乏BQ或［BQ］值，应如何确定围岩级别S？若已有BQ或［BQ］值，又应如何处理围岩级别以反映荷载随岩体基本质量指标的连续变化？"
"HD052","JTG 3370.1-2018","direct","12.3.6","251","依据JTG 3370.1-2018，有轨提升斜井设置避车洞的主要用途是什么？当斜井倾角大于15°且为有轨运输时，对休息平台的设置有何要求？无轨运输单车道长斜井应采取何种措施以满足错车需求？"
"HD053","JTG 3370.1-2018","numeric","18.3.2","286","根据JTG 3370.1-2018，一般情况下，主要放置电力电缆的电缆沟最小尺寸应为多少？同时，当电缆在隧道内进行平面或竖向转变过渡时，其弯曲半径、转折角及转折长度分别有何限制要求？"
"HD054","JTG 3370.1-2018","direct","14.2.2","263","根据JTG 3370.1-2018，膨胀性围岩中隧道支护应遵循哪三项基本原则？其中关于二次衬砌施作时机的要求是什么？"
"HD055","JTG 3370.1-2018","direct","8.4.1","221","根据JTG 3370.1-2018，复合式衬砌由哪些组成部分构成？该结构形式在我国公路隧道中的应用范围及技术特点如何？"
"HD056","JTG 3370.1-2018","direct","14.8.4","269","根据JTG 3370.1-2018，高地应力区隧道软岩大变形破坏的主要成因是什么？为有效控制围岩变形、维护围岩稳定，应采取哪些针对性的支护策略？"
"HD057","JTG 3370.1-2018","direct","6.1.2","40","依据JTG 3370.1-2018，确定隧道围岩压力时应综合考虑哪些因素？当施工或量测结果与原定计算不符时应如何处理？"
"HC001","JTG-T 3660-2020","direct","9.2.4","68","根据JTG-T 3660-2020，喷射混凝土施工推荐采用何种工艺？该工艺在粉尘控制、密实度及质量控制方面有何特点？"
"HC002","JTG-T 3660-2020","direct","9.1.2","65","根据《公路隧道施工技术规范》（JTG/T 3660—2020），隧道喷锚支护应在开挖后何时施作？"
"HC003","JTG-T 3660-2020","direct","2.0.5","11","根据JTG-T 3660-2020，护拱在隧道衬砌浇筑完成后、拱背空洞较大时的作用是什么？"
"HC004","JTG-T 3660-2020","direct","15.3.1","148","根据JTG-T 3660-2020，当隧道掌子面自稳性差、开挖可能坍塌或拱顶掉块时，可采取哪些措施稳定掌子面？"
"HC005","JTG-T 3660-2020","direct","6.1.1","38","根据JTG-T 3660-2020，洞口开挖和进洞施工在何种气象条件下应尽量避免？若无法避开，应采取什么措施？"
"HC006","JTG-T 3660-2020","direct","11.1.9","108","根据JTG-T 3660-2020，隧道施工期间在掌子面、边墙基坑及仰拱基坑等低洼部位，为保障作业安全与质量，应如何配置抽排水设施？"
"HC007","JTG-T 3660-2020","direct","9.1.1","65","根据JTG-T 3660-2020，支护与衬砌在隧道工程中应满足哪些基本功能要求？"
"HC008","JTG-T 3660-2020","table","18.3.2","193","依据JTG-T 3660-2020，当需监测衬砌钢筋应力时，可选用哪些元器件？"
"HC009","JTG-T 3660-2020","table","11.4.8","120","依据JTG-T 3660-2020，中埋式止水带安装时，对‘偏离衬砌轴线’这一检查项目的施工控制值、检验频率及检验方法分别是什么？"
"HC010","JTG-T 3660-2020","direct","18.5.1","198","依据JTG-T 3660-2020，针对隧道施工影响范围内的周边建（构）筑物，应如何开展监测工作？"
